Location,Description,Price,Area,Quartos,Banheiros,Vagas,Type
"Jardim Camburi, Vitória","Aptos À venda - gran reserva jardim camburi. Um lugar para você reunir seus amigos, fazer planos com A família E celebrar suas vitórias! Assim É O gran reserva, uma conquista única que abre oportunidades para você harmonizar momentos felizes com quem É importante. - 03 qtos, sendo 1 suíte. - 87, 96 a 88, 24m² - 2 vagas. - sala de estar/jantar. - varanda. - cozinha/área de serviço. Área de lazer entregue montada e decorada. Cód. Anúncio: Ver dados. Sem dúvidas não ficará disponível por muito tempo, agende uma visita com nossa equipe de vendas! Entre em contato para mais informações: (Ver dados (com WhatsApp!) ou Ver dados. Ética, Compromisso e Profissionalismo. Imovi Consultoria Imobiliária - creci 7219-J. br - 05/10/2023",R$ 1.085.890,87,3,2,2,apartamento
"Jardim Camburi, Vitória","Apartamento para venda com 63 metros quadrados com 2 quartos em Jardim Camburi - Vitória - es. O residencial Argo Camburi, é a realização de um sonho. Espaço para criar os filhos, viver bons momentos e aproveitar a vida. Quase 2. 000m2 projetado para mais de 40 itens de lazer. 02 quartos, suite, varanda com vista livre. Cozinha americana. Este apto é um repasse. Sinal - R$ 260. 987, 00. restante com a Construtora.",R$ 685.000,64,2,1,1,apartamento
"Mata da Praia, Vitória","Belíssimo apartamento na Mata da Praia, muito bem localizado, em Vitória, próximo ao Parque Pedra da Cebola e em frente ao Parque Padre Alfonso Pastore. São 4 quartos, 3 banheiros, 2 vagas de garagem cobertas e soltas, e 128 m². Cozinha toda mobiliada com marcenaria planejada. O condomínio oferece: piscina, sauna, churrasqueira e salão de festas. Imóvel altamente conservado e com donos caprichosos. Atualmente tem sido utilizado apenas como apoio para a família quando visitam Vitória. Não perca essa oportunidade!. br. creci: 9579F - 16/11/2023",R$ 1.252.000,128,4,3,2,apartamento
"Jardim Camburi, Vitória","Apartamento 3 Quartos em Jardim Camburi75m²3 Quartos sendo 1 Suíte, 2 Banheiros, 1 Vaga de Garagem Cobertas. Armários na cozinha e banheiros, Box nos banheiros. Piscina, Churrasqueira, Sauna, Academia, Playground e Salão de Festas. R$450. 000, 00Condomínio: R$400",R$ 450.000,75,3,2,1,apartamento
"Praia do Canto, Vitória","Cobertura linear maravilhosa! Sol da Manhã na Praia do Canto! No miolo da Praia do Canto, perto de tudo! - Vista panorâmica. - Piscina, churrasqueira e sauna privativas! - São 380m2 com 4 quartos. - 4 suítes, sendo 1 master. - Cozinha e área de serviço independentes e amplas. - Dispensa. - Sala para 4 ambientes. - Ambientes climatizados. - Dependência de secretária (quarto e banheiro) - 3 vagas cobertas. - Box na garagem com 10m² Vai vender rápido! Marque logo uma visita! (Ver dados (com WhatsApp!) Ver dados. Ética, Compromisso e Profissionalismo. Imovi Consultoria Imobiliária - creci 7219-J. br - 18/04/2023",R$ 3.500.000,380,4,6,3,apartamento
"Jardim da Penha, Vitória","Apartamento novinho com 2 suítes na melhor localização de Jardim da Penha. São 65m²; 2 quartos, sendo 2 suíte; 2 banheiro; Excelente Planta. Piso frio; Preparação para Split na sala e quartos; 1 vaga de garagem. Prédio novo e muito bem construído. Você irá se encantar por cada detalhe desse apartamento que possui uma planta. incrível! Sem dúvidas não ficará disponível por muito tempo, agende uma visita com nossa. equipe de vendas! Entre em contato para mais informações. (Ver dados (com WhatsApp!) Ver dados. Ética, Compromisso e Profissionalismo. Imovi Consultoria Imobiliária - creci 7219-J. . br - 03/03/2023",R$ 700.000,64,2,2,1,apartamento
"Jardim Camburi, Vitória","O apartamento está localizado no bairro Jardim Camburi tem 60 metros quadrados com 2 quartos sendo 1 suite e 2 banheiros, frente rua, ventilação de nordeste. Possui área de fitness, área verde de jardim, playground, salão de festas. Vai lhe possibilitar curtir os dias mais quentes na piscina, praticar diversos esportes na quadra poliesportiva. Churrasqueira para você aproveitar nos momentos de descontração. Elevador para mais praticidade no dia-a-dia. Está em um condomínio protegido por grades. Marque sua visita conosco.",R$ 510.000,60,2,2,1,apartamento
"Jardim Camburi, Vitória","Jardim Camburi Apartamento 3 quartos Garden, uma casa dentro de um apartamento. 115m2, enorme. • sol da manhã e frente️ •3 quartos sendo 2 suítes, sendo 3 banheiros. •115 m2 de área total. •apartamento Garden ( quintalzão para você fazer churrasqueira ou hidro) • muito bem decorado!! • a cozinha com móveis modernos e estilosos. • iluminação pontual dando todo um charme. • muita mobília fixa! • excelente localização. • 1 vaga. Porteira fechada - 1080. 000, 00. Condomínio 500, 00",R$ 1.080.000,115,3,3,1,apartamento
"Jardim Camburi, Vitória","02 quartos, suite, varanda com fechamento. Bons armários na cozinha, banheiros e quartos. Banheiros com ventilação natural, sol da manhã. 01 vaga de garagem. Sem lazer.",R$ 600.000,68,2,1,1,apartamento
"Jardim Camburi, Vitória","condomínio praia de camburi. Apartamento de 02 quartos todo reformado, em Jardim Camburi, cozinha com bancada estendida integrada com a área de serviço, sala com painel e acessórios, banheiro social com armário, espelho, box, vidro temperado e ventilação natural, quarto de solteiro com piso laminado, quarto de casal com ventilador e piso laminado. Primeiro andar de escada, 01vaga de garagem, lazer com quadra poliesportiva e salão de festas, próximo a faculdade Estácio de Sá, supermercado Carone e comercio em geral. Agende sua visita!",R$ 335.000,55,2,1,1,apartamento
